stop_id,stop_code,stop_name,stop_desc,stop_lon,stop_lat,zone_id,stop_url,location_type,parent_station,stop_timezone,level_id,wheelchair_boarding,platform_code
IDFM:422296,,Blum Senlis,,2.2958651997379587,49.14431382254159,5,,0,IDFM:74100,Europe/Paris,,0,
IDFM:422297,,Boyenval,,2.3004453866491463,49.14309975647893,5,,0,IDFM:67265,Europe/Paris,,0,
IDFM:38153,,Buffon,,2.613594539270553,48.94279163201525,5,,0,IDFM:68830,Europe/Paris,,0,
IDFM:38152,,Béarn,,2.6120258566219663,48.94994465803405,5,,0,IDFM:68886,Europe/Paris,,1,
IDFM:38158,,Laroche,,2.6096606224299754,48.950368622851734,5,,0,IDFM:423655,Europe/Paris,,0,
IDFM:38156,,Grillons,,2.6034100857483105,48.94462883183674,5,,0,IDFM:68846,Europe/Paris,,0,
IDFM:38155,,Centre Ville,,2.6150671291574366,48.93934320317999,5,,0,IDFM:425008,Europe/Paris,,1,
IDFM:38130,,Marronniers,,2.5788280859980093,48.95913090599747,4,,0,IDFM:73534,Europe/Paris,,1,
IDFM:38131,,Pavé,,2.5336119774200356,48.98667815716246,5,,0,IDFM:73583,Europe/Paris,,1,
IDFM:38132,,Place Henri Barbusse,,2.5707745358767244,48.961525823510584,4,,0,IDFM:73542,Europe/Paris,,1,
IDFM:23131,,ZA Les Champs,,2.499194820125866,48.76258981835707,4,,0,IDFM:73772,Europe/Paris,,2,
IDFM:23132,,ZA Les Champs,,2.499310639659286,48.76186177847417,4,,0,IDFM:73772,Europe/Paris,,2,
IDFM:38135,,Ronsard,,2.563359718984363,48.95705226264792,4,,0,IDFM:73528,Europe/Paris,,1,
IDFM:23130,,ZA Haie Griselle,,2.5014345254637496,48.760269704656196,4,,0,IDFM:73771,Europe/Paris,,2,
IDFM:23136,,ZAC de la Sablière,,2.506486586968999,48.76693734622855,4,,0,IDFM:426634,Europe/Paris,,2,
IDFM:23135,,ZAC de la Sablière,,2.5063254513769406,48.76671182785778,4,,0,IDFM:426634,Europe/Paris,,2,
IDFM:23134,,Ateliers RATP de Sucy,,2.5028431568188454,48.765204362588285,4,,0,IDFM:72911,Europe/Paris,,2,
IDFM:23133,,Ateliers RATP de Sucy,,2.502260040541815,48.76500406350795,4,,0,IDFM:72911,Europe/Paris,,2,
IDFM:38139,,Gare du Vert Galant,,2.5686587133857746,48.9454440570823,4,,0,IDFM:73482,Europe/Paris,,2,
IDFM:23138,,Charles de Gaulle,,2.499145757427509,48.75777773830509,4,,0,IDFM:73769,Europe/Paris,,2,
IDFM:38145,,Les Lierres - Hérivaux,,2.394715262192335,49.00743253708836,4,,0,IDFM:482863,Europe/Paris,,1,
IDFM:424417,,Lycée Agricole RD 319,,2.6446075323184752,48.68152316480919,5,,0,IDFM:62597,Europe/Paris,,0,
IDFM:424416,,Stade de Bonneuil,,2.481247676290172,48.765598207064514,3,,0,IDFM:424094,Europe/Paris,,1,
IDFM:38148,,Centre,,2.6394063926042137,49.03384624530543,5,,0,IDFM:69256,Europe/Paris,,0,
IDFM:23127,,ZA 8 Mai 1945,,2.5032830551745513,48.75900923059016,4,,0,IDFM:73770,Europe/Paris,,2,
IDFM:23129,,ZA Haie Griselle,,2.501419547707531,48.76041354860677,4,,0,IDFM:73771,Europe/Paris,,2,
IDFM:23128,,ZA 8 Mai 1945,,2.5032567047272534,48.75891917935114,4,,0,IDFM:73770,Europe/Paris,,2,
IDFM:38111,,Aéroport CDG - Terminal 2 (Route de service),,2.5583894874237667,49.00364128296663,5,,0,IDFM:462531,Europe/Paris,,1,
IDFM:38110,,Centre d'Activités CDG,,2.566506117412048,48.96456341159781,4,,0,IDFM:73551,Europe/Paris,,2,
IDFM:424427,,Hôtel de Ville,,2.574125657102386,48.78963759419661,4,,0,IDFM:72982,Europe/Paris,,2,
IDFM:424428,,Hôtel de Ville,,2.57423506015528,48.789575026896976,4,,0,IDFM:72982,Europe/Paris,,2,
IDFM:424429,,Lycée Einstein,,2.348582337425978,48.635268587222676,5,,0,IDFM:424431,Europe/Paris,,2,
IDFM:38118,,Centre Postal / Hub Postal,,2.544066066733508,48.99115152524095,5,,0,IDFM:73586,Europe/Paris,,1,
IDFM:38124,,LEP Boucher,,2.5788573292958072,48.950462211837156,4,,0,IDFM:73502,Europe/Paris,,1,
