service_id,monday,tuesday,wednesday,thursday,friday,saturday,sunday,start_date,end_date
IDFM:26170,1,1,1,1,1,0,0,20240712,20240912
IDFM:26185,1,1,1,0,1,1,0,20240714,20240908
IDFM:26193,1,1,1,1,1,0,1,20240713,20240907
IDFM:26216,1,1,1,1,1,0,0,20240712,20240912
IDFM:26220,0,0,0,0,0,0,1,20240714,20240908
IDFM:26224,1,1,1,1,1,1,1,20240713,20240907
IDFM:26231,1,1,1,0,1,0,0,20240713,20240908
IDFM:26282,1,1,1,0,1,0,0,20240714,20240908
IDFM:26296,1,1,1,1,1,0,1,20240713,20240908
IDFM:26342,0,0,0,0,0,0,1,20240713,20240907
IDFM:26733,1,1,1,1,1,0,0,20240712,20240912
IDFM:26932,1,1,1,1,1,0,1,20240712,20240912
IDFM:28027,1,1,1,1,1,1,1,20240712,20240912
IDFM:28036,0,0,0,0,0,1,1,20240713,20240908
IDFM:29179,0,0,1,0,1,0,0,20240712,20240911
IDFM:29183,1,1,0,1,0,0,0,20240715,20240912
IDFM:30634,1,1,0,1,1,0,0,20240712,20240912
IDFM:31377,1,0,0,0,0,0,1,20240721,20240902
IDFM:31806,0,0,0,0,0,1,0,20240713,20240908
IDFM:33586,1,1,1,1,1,0,0,20240805,20240912
IDFM:36010,1,1,1,1,1,0,0,20240712,20240823
IDFM:36072,1,1,1,1,1,0,0,20240712,20240823
IDFM:36099,1,1,0,0,1,0,0,20240712,20240823
IDFM:36104,1,1,1,1,1,0,0,20240712,20240823
IDFM:36266,1,1,0,0,1,0,0,20240812,20240816
IDFM:36278,1,1,1,1,1,0,0,20240731,20240816
IDFM:36343,0,0,1,1,1,0,0,20240731,20240809
IDFM:36773,1,1,1,1,1,0,0,20240712,20240907
IDFM:36975,0,0,0,0,0,1,0,20240713,20240831
IDFM:38284,1,1,1,1,1,0,0,20240712,20240830
IDFM:38503,0,0,0,0,0,1,0,20240713,20240831
IDFM:38539,1,1,1,1,1,0,0,20240801,20240816
IDFM:40651,0,0,0,0,0,0,1,20240804,20240825
IDFM:49858,1,1,1,1,1,0,0,20240712,20240830
IDFM:51668,0,0,0,0,0,1,1,20240713,20240831
IDFM:51774,0,0,0,1,1,0,1,20240714,20240825
IDFM:51974,0,0,0,0,0,1,0,20240713,20240831
IDFM:52257,0,0,0,0,0,1,0,20240713,20240912
IDFM:56647,1,1,1,1,1,0,0,20240712,20240912
IDFM:57555,0,0,0,0,0,0,1,20240811,20240901
IDFM:57559,0,0,0,0,0,1,0,20240712,20240831
IDFM:57563,0,0,0,0,0,0,1,20240811,20240908
IDFM:57574,0,0,0,0,0,0,1,20240714,20240804
IDFM:58214,0,0,0,0,0,1,0,20240712,20240907
IDFM:62929,1,1,1,1,1,0,0,20240801,20240912
IDFM:65555,1,1,1,1,1,1,1,20240712,20240912
IDFM:65591,1,1,1,1,1,0,0,20240712,20240912
IDFM:65602,1,1,1,1,1,0,1,20240712,20240912
IDFM:65893,1,1,1,1,0,0,0,20240801,20240912
IDFM:66143,0,0,0,0,1,0,0,20240712,20240830
IDFM:66148,0,0,1,0,0,0,0,20240717,20240731
IDFM:66274,0,0,1,0,0,0,0,20240807,20240828
IDFM:67135,0,0,0,0,1,1,0,20240712,20240831
IDFM:67994,1,1,1,0,1,0,0,20240712,20240830
IDFM:68042,1,1,1,1,0,0,0,20240819,20240829
IDFM:68088,1,1,1,1,0,0,0,20240715,20240814
IDFM:68524,0,0,0,0,0,1,0,20240713,20240907
IDFM:69216,1,1,1,1,1,0,0,20240712,20240912
IDFM:69253,1,1,1,1,1,0,0,20240712,20240908
IDFM:70850,0,0,1,0,0,0,0,20240904,20240911
IDFM:70852,1,1,1,1,1,1,0,20240712,20240912
IDFM:70862,1,1,1,1,1,1,0,20240712,20240911
IDFM:70986,0,0,0,0,1,0,0,20240712,20240830
IDFM:70991,0,0,0,0,1,0,0,20240809,20240823
IDFM:71062,1,1,1,1,1,0,0,20240712,20240830
IDFM:71066,1,1,1,1,0,0,0,20240715,20240823
IDFM:71160,1,1,1,1,1,1,1,20240712,20240901
IDFM:71203,1,1,1,0,1,1,0,20240712,20240831
IDFM:71259,0,0,1,0,0,0,0,20240904,20240911
IDFM:71266,1,1,1,1,1,0,0,20240712,20240911
IDFM:71297,0,0,0,0,1,0,0,20240712,20240907
IDFM:71306,0,0,0,0,1,0,0,20240712,20240907
IDFM:71308,0,0,0,0,1,0,1,20240712,20240908
IDFM:71313,1,1,1,1,1,1,0,20240712,20240911
IDFM:71350,1,1,1,1,0,0,0,20240715,20240911
IDFM:71369,0,0,0,0,1,1,0,20240712,20240906
IDFM:71655,0,0,0,0,1,1,1,20240712,20240906
IDFM:71656,1,1,1,1,1,1,1,20240712,20240912
IDFM:71659,1,1,1,1,0,0,0,20240819,20240912
IDFM:71661,1,1,1,1,0,0,0,20240715,20240911
IDFM:71662,1,1,1,1,0,0,0,20240715,20240911
IDFM:72162,0,0,0,0,1,1,0,20240712,20240831
IDFM:72180,0,0,0,0,0,0,1,20240714,20240825
IDFM:75741,1,1,1,1,1,0,0,20240722,20240830
IDFM:75774,1,1,1,1,1,0,0,20240722,20240907
IDFM:76025,1,1,1,1,0,0,1,20240714,20240901
IDFM:78330,1,1,1,0,0,0,0,20240902,20240911
IDFM:78444,0,0,0,1,0,0,0,20240801,20240829
IDFM:78883,1,1,1,1,1,0,0,20240712,20240829
IDFM:78938,1,1,1,1,1,0,0,20240801,20240830
IDFM:79036,1,1,1,0,1,0,0,20240712,20240828
IDFM:79085,1,1,1,0,1,0,0,20240802,20240830
IDFM:79199,1,1,1,1,0,0,0,20240715,20240829
IDFM:79205,1,1,1,0,0,0,0,20240715,20240828
IDFM:79207,1,1,1,0,1,0,0,20240715,20240830
IDFM:79218,1,1,1,0,1,0,0,20240802,20240830
IDFM:79221,1,1,0,0,0,0,0,20240902,20240910
IDFM:79240,0,0,0,1,1,0,0,20240712,20240829
IDFM:79264,0,0,0,1,0,0,0,20240718,20240829
IDFM:79275,0,0,0,1,0,0,0,20240801,20240822
IDFM:79283,1,1,1,0,1,0,0,20240712,20240830
IDFM:79402,1,1,1,0,0,0,0,20240712,20240828
IDFM:79475,0,0,0,1,1,0,0,20240801,20240830
IDFM:79666,1,1,1,0,0,0,0,20240805,20240828
IDFM:82836,1,1,1,1,0,0,0,20240715,20240908
IDFM:83934,1,1,0,1,0,0,0,20240715,20240829
IDFM:84043,0,0,1,0,1,0,0,20240712,20240830
IDFM:87639,0,0,0,0,1,0,0,20240715,20240830
IDFM:87798,0,0,0,0,1,1,0,20240713,20240831
IDFM:92161,1,1,1,1,1,0,0,20240830,20240912
IDFM:92212,1,1,1,1,0,0,0,20240715,20240822
IDFM:92213,0,0,0,0,1,1,0,20240830,20240907
IDFM:92227,0,0,0,0,1,0,0,20240712,20240823
IDFM:92229,0,0,0,0,1,1,0,20240712,20240824
IDFM:92250,1,1,0,1,1,0,0,20240830,20240912
IDFM:96761,1,0,1,1,0,0,0,20240715,20240829
IDFM:96958,0,1,0,0,0,0,0,20240716,20240827
IDFM:98989,1,1,1,1,1,1,1,20240712,20240907
IDFM:100000,0,0,0,0,0,1,0,20240713,20240831
IDFM:100049,0,0,0,0,1,0,0,20240712,20240830
IDFM:100052,0,0,0,0,0,0,1,20240908,20240908
IDFM:100113,0,0,0,0,0,1,0,20240907,20240907
IDFM:100192,0,0,0,0,0,0,1,20240714,20240901
IDFM:100242,1,1,1,1,1,0,0,20240712,20240830
IDFM:100510,0,0,0,0,1,0,0,20240906,20240906
IDFM:100601,0,0,0,0,1,0,0,20240712,20240906
IDFM:100602,1,1,1,1,1,1,0,20240712,20240907
IDFM:100603,0,0,0,0,0,1,0,20240713,20240907
IDFM:100605,1,1,1,1,0,0,1,20240714,20240912
IDFM:100608,0,0,0,0,0,0,1,20240901,20240908
IDFM:100618,1,1,1,1,0,0,0,20240715,20240912
IDFM:100774,0,0,0,0,0,0,1,20240714,20240908
IDFM:100777,0,0,0,0,0,0,1,20240714,20240825
IDFM:101195,1,1,1,1,0,0,0,20240902,20240912
IDFM:101467,1,1,1,0,1,0,0,20240805,20240830
IDFM:101496,1,1,1,1,1,0,0,20240712,20240829
IDFM:101947,1,1,1,1,0,0,0,20240712,20240829
IDFM:101993,0,0,0,0,1,0,0,20240809,20240830
IDFM:102136,1,1,1,1,0,0,0,20240902,20240912
IDFM:102344,1,1,1,1,1,1,0,20240712,20240831
