from_stop_id,to_stop_id,transfer_type,min_transfer_time
IDFM:8500,IDFM:3767,2,263
IDFM:25089,IDFM:25088,2,60
IDFM:13758,IDFM:14177,2,369
IDFM:6495,IDFM:6497,2,60
IDFM:13161,IDFM:491259,2,226
IDFM:13337,IDFM:13336,2,315
IDFM:7445,IDFM:7513,2,366
IDFM:422040,IDFM:21508,2,271
IDFM:39474,IDFM:25294,2,352
IDFM:420271,IDFM:21174,2,60
IDFM:424216,IDFM:31331,2,166
IDFM:27005,IDFM:427590,2,285
IDFM:8679,IDFM:32813,2,244
IDFM:20514,IDFM:20515,2,137
IDFM:427392,IDFM:19618,2,75
IDFM:7598,IDFM:21513,2,342
IDFM:463107,IDFM:36701,2,245
IDFM:39187,IDFM:490601,2,60
IDFM:21359,IDFM:21408,2,256
IDFM:36496,IDFM:28364,2,321
IDFM:30169,IDFM:463179,2,229
IDFM:21680,IDFM:24065,2,97
IDFM:26889,IDFM:463059,2,335
IDFM:39120,IDFM:39129,2,258
IDFM:39311,IDFM:38184,2,199
IDFM:426153,IDFM:462942,2,224
IDFM:425703,IDFM:4500,2,60
IDFM:35985,IDFM:485715,2,119
IDFM:41764,IDFM:34787,2,344
IDFM:462442,IDFM:427347,2,250
IDFM:4281,IDFM:20285,2,217
IDFM:25003,IDFM:5823,2,60
IDFM:9111,IDFM:22010,2,202
IDFM:24059,IDFM:28364,2,349
IDFM:13913,IDFM:22316,2,366
IDFM:26985,IDFM:34133,2,332
IDFM:19546,IDFM:37953,2,342
IDFM:22032,IDFM:37928,2,372
IDFM:22039,IDFM:22754,2,296
IDFM:5902,IDFM:5908,2,262
IDFM:482774,IDFM:28680,2,105
IDFM:488666,IDFM:488676,2,218
IDFM:38196,IDFM:419502,2,373
IDFM:monomodalStopPlace:47909,IDFM:30909,2,219
IDFM:486826,IDFM:12118,2,335
IDFM:463551,IDFM:479844,2,102
IDFM:18416,IDFM:18417,2,127
IDFM:463791,IDFM:26757,2,354
IDFM:3780,IDFM:3779,2,96
IDFM:16694,IDFM:16669,2,254
IDFM:10138,IDFM:8949,2,60
IDFM:21459,IDFM:480408,2,79
IDFM:31307,IDFM:31306,2,60
IDFM:28544,IDFM:21433,2,222
IDFM:477503,IDFM:479804,2,168
IDFM:422365,IDFM:5422,2,360
IDFM:21291,IDFM:16912,2,60
IDFM:4731,IDFM:4730,2,93
IDFM:21718,IDFM:5052,2,346
IDFM:16673,IDFM:16674,2,60
IDFM:480436,IDFM:31108,2,60
IDFM:8251,IDFM:25185,2,60
IDFM:472466,IDFM:31077,2,189
IDFM:34451,IDFM:34477,2,356
IDFM:463227,IDFM:26180,2,395
IDFM:24062,IDFM:24060,2,262
IDFM:24779,IDFM:22059,2,315
IDFM:19084,IDFM:18865,2,60
IDFM:12944,IDFM:27420,2,284
IDFM:39820,IDFM:460490,2,380
IDFM:485536,IDFM:38806,2,240
IDFM:21305,IDFM:21395,2,246
IDFM:5307,IDFM:5308,2,60
IDFM:481007,IDFM:481012,2,60
IDFM:39980,IDFM:39979,2,60
IDFM:35967,IDFM:35968,2,60
IDFM:29040,IDFM:29048,2,282
IDFM:27803,IDFM:17032,2,297
IDFM:27046,IDFM:25726,2,60
IDFM:39839,IDFM:5079,2,86
IDFM:460477,IDFM:32223,2,60
IDFM:14239,IDFM:427869,2,60
IDFM:2230,IDFM:3310,2,60
IDFM:419257,IDFM:19924,2,241
IDFM:3132,IDFM:3124,2,136
IDFM:5928,IDFM:427761,2,356
IDFM:4201,IDFM:4198,2,319
IDFM:22576,IDFM:26392,2,60
IDFM:32022,IDFM:483635,2,60
IDFM:33027,IDFM:33016,2,275
IDFM:26938,IDFM:37287,2,381
IDFM:33750,IDFM:16015,2,60
IDFM:34943,IDFM:34941,2,358
IDFM:480865,IDFM:427465,2,89
IDFM:7616,IDFM:7615,2,95
IDFM:22059,IDFM:24781,2,204
IDFM:29465,IDFM:29464,2,377
IDFM:463080,IDFM:36947,2,236
IDFM:23660,IDFM:22743,2,372
IDFM:34926,IDFM:34912,2,160
IDFM:39254,IDFM:39253,2,249
IDFM:426548,IDFM:419550,2,225
IDFM:3159,IDFM:3158,2,79
IDFM:415256,IDFM:415257,2,60
IDFM:18782,IDFM:18783,2,60
IDFM:16682,IDFM:16678,2,278
IDFM:490594,IDFM:462427,2,60
IDFM:22168,IDFM:463026,2,162
IDFM:41561,IDFM:41564,2,60
IDFM:24815,IDFM:28513,2,356
IDFM:10365,IDFM:10363,2,244
IDFM:29212,IDFM:29211,2,60
IDFM:26705,IDFM:486432,2,104
IDFM:31309,IDFM:31272,2,60
IDFM:16581,IDFM:16579,2,291
IDFM:7295,IDFM:7293,2,252
IDFM:monomodalStopPlace:45346,IDFM:8443,2,618
IDFM:35368,IDFM:411552,2,230
IDFM:16665,IDFM:16471,2,282
IDFM:2598,IDFM:461974,2,94
IDFM:38421,IDFM:38447,2,102
IDFM:22663,IDFM:monomodalStopPlace:47900,2,196
IDFM:32466,IDFM:484095,2,359
IDFM:32278,IDFM:32118,2,319
IDFM:37227,IDFM:24881,2,149
IDFM:22248,IDFM:23332,2,221
IDFM:483383,IDFM:423860,2,348
IDFM:422956,IDFM:419250,2,60
IDFM:483463,IDFM:24257,2,323
IDFM:40090,IDFM:415096,2,354
IDFM:12218,IDFM:12219,2,60
IDFM:25463,IDFM:25465,2,76
IDFM:23567,IDFM:22847,2,89
IDFM:491253,IDFM:490993,2,63
IDFM:486521,IDFM:19650,2,213
IDFM:21963,IDFM:37512,2,214
IDFM:420998,IDFM:13431,2,308
IDFM:20318,IDFM:18071,2,116
IDFM:34575,IDFM:32318,2,211
IDFM:25884,IDFM:463212,2,208
IDFM:28710,IDFM:7749,2,291
IDFM:481471,IDFM:14437,2,112
IDFM:490835,IDFM:35929,2,178
IDFM:422698,IDFM:7288,2,60
IDFM:42017,IDFM:491276,2,114
IDFM:426866,IDFM:3792,2,351
IDFM:17316,IDFM:13122,2,271
IDFM:461965,IDFM:21643,2,378
IDFM:3181,IDFM:3180,2,60
IDFM:19349,IDFM:19097,2,101
IDFM:monomodalStopPlace:43213,IDFM:474406,2,213
IDFM:4595,IDFM:31237,2,82
IDFM:2816,IDFM:2815,2,155
IDFM:38886,IDFM:422213,2,289
IDFM:417043,IDFM:417042,2,60
IDFM:32606,IDFM:32612,2,346
IDFM:462972,IDFM:463300,2,140
IDFM:39093,IDFM:40767,2,131
IDFM:7527,IDFM:7418,2,300
IDFM:419195,IDFM:421879,2,381
IDFM:463148,IDFM:34166,2,242
IDFM:9791,IDFM:412428,2,501
IDFM:426228,IDFM:33753,2,60
IDFM:31917,IDFM:31912,2,60
IDFM:486206,IDFM:423069,2,60
IDFM:15859,IDFM:15860,2,88
IDFM:monomodalStopPlace:43231,IDFM:470573,2,239
IDFM:2613,IDFM:2590,2,368
IDFM:481003,IDFM:481016,2,60
IDFM:425648,IDFM:34256,2,60
IDFM:417775,IDFM:417778,2,60
IDFM:35985,IDFM:35983,2,247
IDFM:16512,IDFM:16511,2,60
IDFM:28560,IDFM:21963,2,363
IDFM:14730,IDFM:14731,2,60
IDFM:471795,IDFM:419203,2,240
IDFM:24454,IDFM:35823,2,262
IDFM:34223,IDFM:29262,2,256
IDFM:35182,IDFM:22236,2,340
IDFM:7956,IDFM:480986,2,307
IDFM:16714,IDFM:16891,2,98
IDFM:24415,IDFM:26370,2,60
IDFM:11310,IDFM:8557,2,66
IDFM:478977,IDFM:23203,2,72
IDFM:423584,IDFM:38049,2,292
IDFM:11790,IDFM:35983,2,217
IDFM:14550,IDFM:14551,2,60
IDFM:420825,IDFM:3855,2,87
IDFM:28015,IDFM:28021,2,60
IDFM:482580,IDFM:462056,2,318
IDFM:29206,IDFM:29203,2,302
IDFM:19339,IDFM:19460,2,340
IDFM:11809,IDFM:478609,2,378
IDFM:38591,IDFM:38548,2,166
IDFM:13654,IDFM:40550,2,331
IDFM:8316,IDFM:22085,2,242
IDFM:19254,IDFM:19432,2,328
IDFM:20140,IDFM:9442,2,345
IDFM:22082,IDFM:27332,2,376
IDFM:22480,IDFM:16665,2,334
IDFM:419606,IDFM:38461,2,228
IDFM:472464,IDFM:37470,2,289
IDFM:25510,IDFM:8126,2,60
IDFM:427171,IDFM:24901,2,251
IDFM:5730,IDFM:5729,2,380
IDFM:9840,IDFM:10033,2,60
IDFM:42058,IDFM:37985,2,141
IDFM:7847,IDFM:24141,2,110
IDFM:18874,IDFM:19545,2,60
IDFM:7349,IDFM:7350,2,60
IDFM:4338,IDFM:4336,2,83
IDFM:417792,IDFM:10534,2,60
IDFM:21543,IDFM:20044,2,184
IDFM:28649,IDFM:12807,2,356
IDFM:20705,IDFM:20714,2,60
IDFM:422526,IDFM:478392,2,204
IDFM:423010,IDFM:22778,2,60
IDFM:15657,IDFM:10533,2,60
IDFM:488017,IDFM:18659,2,143
IDFM:30750,IDFM:30752,2,60
IDFM:484087,IDFM:478384,2,60
IDFM:35826,IDFM:25270,2,286
IDFM:33444,IDFM:33429,2,348
IDFM:7825,IDFM:22661,2,272
IDFM:monomodalStopPlace:43098,IDFM:411598,2,325
IDFM:22420,IDFM:39476,2,75
IDFM:15446,IDFM:15447,2,216
IDFM:9878,IDFM:5730,2,242
IDFM:2686,IDFM:29872,2,379
IDFM:37158,IDFM:22722,2,397
IDFM:3519,IDFM:3514,2,344
IDFM:30469,IDFM:6079,2,164
IDFM:22061,IDFM:37066,2,185
IDFM:25967,IDFM:monomodalStopPlace:42356,2,367
IDFM:18439,IDFM:12437,2,308
IDFM:19517,IDFM:19048,2,171
IDFM:14205,IDFM:14206,2,76
IDFM:463159,IDFM:463158,2,180
IDFM:485645,IDFM:427807,2,269
IDFM:27716,IDFM:26802,2,85
IDFM:477849,IDFM:10243,2,63
IDFM:36831,IDFM:478403,2,172
IDFM:32400,IDFM:32401,2,349
IDFM:39487,IDFM:463043,2,296
IDFM:411229,IDFM:488024,2,60
IDFM:411695,IDFM:34688,2,281
IDFM:14571,IDFM:14570,2,60
IDFM:416851,IDFM:416989,2,101
IDFM:490812,IDFM:monomodalStopPlace:462394,2,483
IDFM:30397,IDFM:30436,2,60
IDFM:10360,IDFM:5274,2,117
IDFM:28207,IDFM:39717,2,60
IDFM:21854,IDFM:21874,2,330
IDFM:35099,IDFM:35073,2,233
IDFM:37299,IDFM:39534,2,60
IDFM:30112,IDFM:22013,2,311
IDFM:470870,IDFM:39851,2,135
IDFM:14026,IDFM:35033,2,203
IDFM:5317,IDFM:419858,2,373
IDFM:30048,IDFM:14388,2,355
IDFM:22749,IDFM:463189,2,220
IDFM:9118,IDFM:21906,2,248
IDFM:420903,IDFM:462410,2,142
IDFM:488255,IDFM:477719,2,60
IDFM:485537,IDFM:38634,2,211
IDFM:3775,IDFM:3776,2,60
IDFM:487837,IDFM:477471,2,60
IDFM:473128,IDFM:415821,2,323
IDFM:13891,IDFM:490721,2,289
IDFM:35652,IDFM:35650,2,185
IDFM:25890,IDFM:41629,2,244
IDFM:29353,IDFM:12106,2,296
IDFM:14709,IDFM:462939,2,376
IDFM:33331,IDFM:33332,2,60
IDFM:27030,IDFM:477507,2,160
IDFM:462061,IDFM:20628,2,310
IDFM:14531,IDFM:14515,2,290
IDFM:22479,IDFM:428003,2,255
IDFM:420551,IDFM:24487,2,137
IDFM:30233,IDFM:30430,2,238
IDFM:6197,IDFM:15159,2,230
IDFM:40615,IDFM:39025,2,309
IDFM:22509,IDFM:25467,2,103
IDFM:28558,IDFM:39325,2,162
IDFM:15904,IDFM:15913,2,298
IDFM:33045,IDFM:15245,2,147
IDFM:24979,IDFM:23641,2,185
IDFM:17398,IDFM:463166,2,219
IDFM:26345,IDFM:39484,2,144
IDFM:463191,IDFM:26748,2,240
IDFM:463129,IDFM:22178,2,180
IDFM:23970,IDFM:7692,2,353
IDFM:16723,IDFM:16746,2,340
IDFM:26889,IDFM:22200,2,198
IDFM:12966,IDFM:12199,2,60
IDFM:16482,IDFM:16481,2,60
IDFM:17990,IDFM:18027,2,296
IDFM:40838,IDFM:22811,2,298
IDFM:18791,IDFM:21943,2,310
IDFM:411598,IDFM:470870,2,282
IDFM:6962,IDFM:19801,2,353
IDFM:11798,IDFM:16629,2,60
IDFM:21964,IDFM:463300,2,480
IDFM:9595,IDFM:483218,2,650
IDFM:34153,IDFM:42116,2,340
IDFM:20317,IDFM:20318,2,252
IDFM:422422,IDFM:33066,2,234
IDFM:27116,IDFM:23467,2,360
IDFM:18366,IDFM:18373,2,201
IDFM:13106,IDFM:5369,2,301
IDFM:37740,IDFM:25801,2,60
IDFM:19840,IDFM:19848,2,118
IDFM:19823,IDFM:420825,2,332
IDFM:411608,IDFM:411604,2,370
IDFM:16819,IDFM:18978,2,268
IDFM:15833,IDFM:15834,2,60
IDFM:486649,IDFM:486605,2,178
IDFM:11722,IDFM:11774,2,187
IDFM:28853,IDFM:28971,2,64
IDFM:463126,IDFM:23314,2,367
IDFM:33143,IDFM:33193,2,359
IDFM:463289,IDFM:36168,2,432
IDFM:31056,IDFM:6801,2,228
IDFM:14470,IDFM:14469,2,277
IDFM:36162,IDFM:24548,2,309
